"variable","question"
"q10_2","Setbacks will happen, but I know I can overcome them."
"q10_3","In the future, I see STEM as part of my job."
"q10_5","There is a need for STEM professionals in my community."
"q3_1","I enjoy learning about STEM."
"q3_5","I can apply STEM ideas to solve challenges."
"q4_4","Others ask me for help with STEM activities."
"q5_1","Everyone has the same opportunities to succeed. If they do not, then they just didn't work hard enough."
"q5_2","I see concepts of STEM in my everyday life."
"q5_3","Women are treated the same as men in STEM."
"q5_4","STEM is a way for me to serve my community."
"q5_5","I have conversations about STEM subjects with friends and family."
"q6_1","I believe there are groups who experience privilege."
"q6_2","I regularly talk about forms of discrimination and oppression with my friends."
"q7_1","When it comes to race, I don't see differences. I just see people."
"q7_3","When things get tough, I usually give up."
"q7_5","I like to figure out how things work."
"q8_1","I like to learn about people of different identities (such as race, gender, or religion)."
"q8_3","I enjoy the process of learning about subjects in a hands-on manner."
"q8_4","It is too confusing to remember everyone's pronouns."
"q9_1","I am a part of the STEM community at <my college>."
"q9_3","Concepts learned in my STEM courses are applicable to other classes."
